,Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,nir,green,swir16,swir22,NDMI,MNDWI,WIR,NDWI,pet
0,-28.760833,17.730278,02-01-2011,128.912,555.0,10.0,11190.0,11426.0,7687.5,7645.0,0.1855383392928079,0.1955947367044225,1.0485497911364958,0.010435090201627167,174.2
1,-26.861111,28.884722,03-01-2011,74.72,162.9,163.0,17658.5,9550.0,13746.5,10574.0,0.1245661518866418,-0.1801343549460211,-1.434577330271634,-0.2980134884319238,124.1
2,-26.45,28.085833,03-01-2011,89.254,573.0,80.0,15210.0,10720.0,17974.0,14201.0,-0.0832931533269042,-0.2528054645570494,3.0720109065792642,-0.17315850366371,127.5
3,-27.671111,27.236944,03-01-2011,82.0,203.6,101.0,14887.0,10943.0,13522.0,11403.0,0.0480481537540918,-0.1054159002656852,-2.149232788540812,-0.1526906697638405,129.7
4,-27.356667,27.286389,03-01-2011,56.1,145.1,151.0,16828.5,9502.5,12665.5,9643.0,0.1411473520037969,-0.1426831468783826,-1.0037692919849213,-0.2782271846872508,129.2
5,-27.01011111,26.69808333,04-01-2011,82.2,289.8,192.0,12433.5,10433.5,9579.5,8531.5,0.1296506609730608,0.0426722630290309,0.326613449263985,-0.08746228189093454,98.6
6,-25.127778,27.628889,04-01-2011,125.0,438.0,163.0,7814.0,5189.5,6664.0,5222.0,0.0794308606161066,-0.1243936390095741,-1.5465909236418611,-0.2018302764640289,105.5
7,-25.20639,27.558,04-01-2011,116.62,568.0,69.0,14137.5,10466.5,10315.5,8536.0,0.1562998405103662,0.0072659031854489,0.04619142118564368,-0.14920338156397334,103.700005
8,-24.69514,27.40906,04-01-2011,181.831,583.0,158.0,15543.0,10647.0,11919.5,9642.5,0.1319435593991802,-0.0563888950435377,-0.4241566518782814,-0.18694158075601375,111.8
9,-26.98472222,26.63227778,04-01-2011,196.0,452.0,158.0,13683.0,10207.0,14011.5,11850.5,-0.0118615609597573,-0.1570906538390067,14.46299057944217,-0.14550020929259105,98.200005
10,-28.141944,26.417778,04-01-2011,94.718,227.9,132.0,14391.0,9840.0,13799.5,11265.0,0.020982245792022,-0.1674950823832984,-7.619561894084874,-0.18781725888324874,93.8
11,-27.398611,26.614722,04-01-2011,86.8,226.3,114.0,15515.5,10247.0,12823.0,10403.5,0.0950120860313704,-0.111660164716081,-1.1629803010383282,-0.2045026686074721,100.9
12,-33.501667,21.624167,04-01-2011,201.0,769.0,74.0,14183.0,9801.0,13704.25,11265.25,0.02154871859009665,-0.1679009137759293,-0.2217938664089844,-0.17315850366371,100.200005
13,-32.502778,19.535833,04-01-2011,10.387,73.0,10.0,17653.0,13104.0,19330.0,16984.0,-0.0453451585863774,-0.191959055312326,4.328748874320066,-0.1479012907630783,119.9
14,-25.45963889,28.26430556,04-01-2011,108.94,396.0,82.0,13959.0,9926.0,15156.5,12552.5,-0.0411292953924884,-0.2085318449117902,5.196499038226927,-0.1688507431442328,103.6
15,-27.495556,26.074722,04-01-2011,67.8,218.6,91.0,17937.5,11044.5,18143.5,14152.5,-0.0057093761259388,-0.2432163902973816,51.645140203979174,-0.23783727831067558,99.700005
16,-26.648056,27.089444,05-01-2011,211.0,532.0,62.0,19310.5,9597.0,12954.5,9447.5,0.1969936463660307,-0.1488814491275518,-0.7519506401347585,-0.33602006399723255,83.5
17,-26.970278,27.211111,05-01-2011,71.5,248.4,117.0,10218.0,11040.0,7946.5,7735.0,0.1250516116601056,0.1629315566323431,1.2925781311839406,0.038667795653401074,82.1
